['belief relative', 0.22349320598487898] ,,['oxford', -0.1838384825595201] 
,,,,
['option sets', 0.2215272917640199] ,,['cousin', -0.18043699630460075] 
,,,,
['moral belief', 0.21851902000918724] ,,['effective', -0.18024893279597318] 
,,,,
['moral belief relative', 0.21851902000918724] ,,['in accident', -0.17811214788808072] 
,,,,
['1', 0.21733895221262192] ,,['never', -0.1759205006638464] 
,,,,
['retributivism', 0.21405771119600753] ,,['existed', -0.17393136273383275] 
,,,,
['emotions', 0.213748269277216] ,,['singer', -0.17260790319724523] 
,,,,
['kill', 0.21374528081235822] ,,['population', -0.17137305197436808] 
,,,,
['0812', 0.21211681117144424] ,,['x80 x94', -0.16955009401790605] 
,,,,
['0812 by', 0.21211681117144424] ,,['x94', -0.16955009401790605] 
,,,,
['0812 by new', 0.21211681117144424] ,,['xe2 x80 x94', -0.16955009401790605] 
,,,,
['to save', 0.2090333308047683] ,,['the job', -0.16920753796682794] 
,,,,
['by new', 0.20864300093367807] ,,['commitment', -0.169096109560127] 
,,,,
['by new york', 0.20864300093367807] ,,['homicidal', -0.16827205050932464] 
,,,,
['save', 0.20466728784273547] ,,['animal', -0.16705044606562502] 
,,,,
['relationships', 0.20409939689690176] ,,['at all', -0.1660697669746124] 
,,,,
['mahon', 0.20407348025472768] ,,['www', -0.16595439724494357] 
,,,,
['28 march', 0.20369680681314267] ,,['the', -0.16583440977596425] 
,,,,
['28 march 2018', 0.20369680681314267] ,,['have', -0.16475955057956487] 
,,,,
['non 28', 0.20369680681314267] ,,['content', -0.16413823279014905] 
,,,,
['non 28 march', 0.20369680681314267] ,,['involuntary', -0.16394463210053176] 
,,,,
['university user', 0.20369680681314267] ,,['worse', -0.16369144822882026] 
,,,,
['university user non', 0.20369680681314267] ,,['laws of', -0.1633845801245197] 
,,,,
['user non', 0.20369680681314267] ,,['children', -0.16320695789008802] 
,,,,
['user non 28', 0.20369680681314267] ,,['might', -0.1607140534103841] 
,,,,
['york university user', 0.20369680681314267] ,,['applied', -0.1604963993465795] 
,,,,
['noncombatants', 0.20146427401295564] ,,['rate', -0.1603411952551135] 
,,,,
['punishment', 0.19928231202443625] ,,['all', -0.15773847334339502] 
,,,,
['harming', 0.1971863431381847] ,,['one', -0.15647883013733155] 
,,,,
['prisoner', 0.19689691877844018] ,,['best consequences', -0.1563496199650749] 
,,,,
['in war', 0.19454438567663412] ,,['nsydney', -0.15627522615120548] 
,,,,
['benefit', 0.19429165473165902] ,,['utilitarian', -0.15623774279024755] 
,,,,
['id', 0.19317508958384078] ,,['impact', -0.15578785472736578] 
,,,,
['sets', 0.1879713151139807] ,,['contributions', -0.1541193242313814] 
,,,,
['and', 0.18621196242297128] ,,['impartial', -0.15370417403388723] 
,,,,
['species', 0.18592620225988257] ,,['enrichment', -0.15250337105396844] 
,,,,
['order', 0.1845074651023534] ,,['ac xe2', -0.15091858756002122] 
,,,,
['not', 0.18387256652026046] ,,['ac xe2 x80', -0.15091858756002122] 
,,,,
['justified', 0.183606951985507] ,,['the best consequences', -0.1506651431203681] 
,,,,
['samaritan', 0.18318755739494902] ,,['world', -0.14889538365963173] 
,,,,
['your', 0.18313510576413705] ,,['bene', -0.1487144530376295] 
,,,,
['associativist', 0.18265570988205856] ,,['reproduction', -0.14807711137588353] 
,,,,
['swimmer', 0.1821613365884163] ,,['suffering', -0.1460272872011234] 
,,,,
['self sacrifice', 0.18148495257397185] ,,['oxfordscholarship', -0.14501329688848846] 
,,,,
['to', 0.17867460445798217] ,,['oxfordscholarship com', -0.14501329688848846] 
,,,,
['causal', 0.17582978779029648] ,,['www oxfordscholarship', -0.14501329688848846] 
,,,,
['cases', 0.1750538241911285] ,,['www oxfordscholarship com', -0.14501329688848846] 
,,,,
['justi', 0.17479647296798267] ,,['stepwise', -0.14484114116058477] 
,,,,
['car', 0.17434225714300391] ,,['stepwise harm', -0.14484114116058477] 
,,,,
['duties to', 0.17405441924865048] ,,['perceptible', -0.14412606966583782] 
,,,,
['the court', 0.17318375027230906] ,,['global consequentialist', -0.1423755415244705] 
